macd_fast,macd_slow,macd_signal,atr_multiplier,sharpe_ratio,sqn,annual_return,max_drawdown,total_return,final_value,total_trades,win_trades,win_rate
8,18,7,2.0,-0.1749743085756526,0.015536882338682875,0.025480409796096688,9.943711155094961,0.13424954503828967,10013.42495450383,67,26,38.80597014925373
8,18,7,2.5,0.0010462324363536685,0.8385925919086877,1.0515297557177763,6.957068480181801,5.662843678573104,10566.28436785731,57,30,52.63157894736842
8,18,7,3.0,0.009693941266587267,0.877712183342398,1.0961794595275791,6.605781570994078,5.9089244428285115,10590.892444282852,57,28,49.122807017543856
8,18,7,3.5,-0.09808408781027189,0.3281189497848351,0.47525833203988943,9.8938614062991,2.528150894342507,10252.81508943425,54,26,48.148148148148145
8,18,7,4.0,-0.02765783091378202,0.7304980265112784,0.9528565658727801,6.6549026868893275,5.12066248251688,10512.06624825169,53,25,47.16981132075472
8,18,8,2.0,-0.26417111485599726,-0.21303302190314874,-0.3332064984781921,10.157019557921931,-1.7421980057611308,9825.780199423887,59,22,37.28813559322034
8,18,8,2.5,-0.16183094455827646,0.32582430321187916,0.403682866582107,7.94562174869218,2.144126614512043,10214.412661451204,52,26,50.0
8,18,8,3.0,-0.08743473335858151,0.6166148128150019,0.7332210110256653,6.344410833862039,3.921916200946862,10392.191620094687,51,24,47.05882352941176
8,18,8,3.5,-0.18431145360497653,0.0827552546633844,0.11335271005898573,9.68450186363267,0.5983459113136691,10059.834591131366,47,22,46.808510638297875
8,18,8,4.0,-0.1496401612209139,0.4416857417735804,0.5438448467845424,6.74178318043889,2.8972350881338205,10289.723508813382,47,20,42.5531914893617
8,18,9,2.0,-0.17300621774978472,0.10693604055544792,0.17687553542046908,9.218957844953636,0.9349247369545344,10093.492473695454,56,23,41.07142857142857
8,18,9,2.5,-0.12159017793640263,0.3851273264093169,0.4944536500573838,9.2022056536654,2.6313382914166406,10263.133829141665,51,24,47.05882352941176
8,18,9,3.0,-0.07686574667483105,0.573080565306096,0.7234632575349721,7.303441241892275,3.8689175372717433,10386.891753727174,49,22,44.89795918367347
8,18,9,3.5,-0.0427358991894432,0.6971109805190525,0.8713933930111422,7.610604958038173,4.674745816403236,10467.474581640323,46,23,50.0
8,18,9,4.0,-0.13040264483114325,0.3525747727402631,0.47104633462478074,8.37825013906975,2.50551989982597,10250.551989982598,47,19,40.42553191489361
8,18,10,2.0,-0.1753159015504756,0.1105354307540326,0.18012456587814382,9.079205344824956,0.952164376829634,10095.216437682964,58,23,39.6551724137931
8,18,10,2.5,-0.14073554575748812,0.32527431845334026,0.41679064550719225,9.085995064141516,2.2143665620637076,10221.43665620637,53,24,45.28301886792453
8,18,10,3.0,-0.17855196068982673,0.3028791941679258,0.36868065511401044,7.1402811494663245,1.956753750459117,10195.675375045912,52,22,42.30769230769231
8,18,10,3.5,-0.0567763931536738,0.6491289264996278,0.8130578437081797,7.453272823100711,4.3563686828485215,10435.636868284852,47,24,51.06382978723404
8,18,10,4.0,-0.15766615816121915,0.2708854915984503,0.36406544122391693,8.421415266170373,1.9320685075962185,10193.206850759621,48,20,41.66666666666667
8,18,11,2.0,-0.2262244452575623,-0.020889551972299275,-0.031203455130934272,8.5010536900316,-0.1642041107311143,9983.579588926888,62,21,33.87096774193548
8,18,11,2.5,-0.06496822600289771,0.6569929573379852,0.793445200627552,7.96003853059076,4.249505410925014,10424.950541092501,55,25,45.45454545454545
8,18,11,3.0,-0.10288066681849539,0.5983256547556113,0.6922365458697167,6.117423802166217,3.6994586265529428,10369.945862655293,54,21,38.88888888888889
8,18,11,3.5,-0.16959852739520598,0.18843321477147226,0.260010435487469,8.795855019646806,1.3767967487509747,10137.679674875097,47,20,42.5531914893617
8,18,11,4.0,-0.1147635886747153,0.48664684917186457,0.6288422763852367,7.0731426457589635,3.3561239292138723,10335.612392921388,47,20,42.5531914893617
8,18,12,2.0,-0.2254004371381207,-0.018171329174196192,-0.027134173575350626,8.499386577024264,-0.1428024414324658,9985.719755856753,62,21,33.87096774193548
8,18,12,2.5,-0.07587221006896994,0.6196227596810475,0.7499367053580176,7.976711487029703,4.012757417721846,10401.275741772184,56,25,44.642857142857146
8,18,12,3.0,-0.10299061790892099,0.5979103421691458,0.6918364489629097,6.11754397270434,3.6972888630641965,10369.728886306419,54,21,38.88888888888889
8,18,12,3.5,-0.1696927051838126,0.1881220453693503,0.2596029285929596,8.796026721486626,1.3746269852622506,10137.462698526226,47,20,42.5531914893617
8,18,12,4.0,-0.11487794077581698,0.48629006830990246,0.6284411031323053,7.073280632806479,3.3539541657251037,10335.39541657251,47,20,42.5531914893617
8,18,13,2.0,-0.25774138791196555,-0.12566922094870542,-0.18963760120014597,8.865723019473755,-0.9945766394426792,9900.542336055732,63,21,33.33333333333333
8,18,13,2.5,-0.015354283644511892,0.8371876982530427,0.9884785193235682,6.6760794262107765,5.316134435935926,10531.613443593593,55,25,45.45454545454545
8,18,13,3.0,-0.09535813570766065,0.6126541939914483,0.7084348040711806,5.967739324855912,3.787334209346427,10378.733420934643,54,21,38.88888888888889
8,18,13,3.5,-0.16136639389395946,0.20263841450675585,0.27931078845512436,8.63640902470339,1.4796042427941858,10147.96042427942,47,20,42.5531914893617
8,18,13,4.0,-0.11472111305209019,0.47639841331024363,0.6191564122042014,6.899231372143015,3.3037478079618543,10330.374780796186,46,20,43.47826086956522
8,20,7,2.0,-0.26417111485599726,-0.21303302190314874,-0.3332064984781921,10.157019557921931,-1.7421980057611308,9825.780199423887,59,22,37.28813559322034
